"","X","Full Name","Team","Salary ($)","Total Minutes","Appearances","Total Possible Minutes","Appearance Weight","xGoals","Offensive Contribution to Team","Defensive Contribution to Team","Total Expected Player Contribution to Team","EPG"
"280",17,"Sacha Kljestan","NYRB",1437500,1195,14,1344,0.889136904761905,0.08,0.742460392910704,0.282051282051282,0.910931139568135,1.57591087145287
"299",9,"Jonathan Spector","ORL",1161929.5,1170,13,1248,0.9375,0.01,0.161873513948513,0.808510638297872,0.909735142730986,1.57384179692461
"139",10,"Erick Torres","HOU",1315000,1081,14,1344,0.804315476190476,0.71,1,0.130434782608696,0.90922619047619,1.57296130952381
"300",17,"Scott Sutter","ORL",480000,1054,13,1248,0.844551282051282,0.02,0.435593152134834,0.638297872340426,0.906956041503945,1.56903395180182
"319",13,"Jack Elliott","PHI",106008,855,10,960,0.890625,0.04,0.118124098611448,0.9,0.906766775325821,1.56870652131367
"433",10,"Jimmy Medranda","SKC",260016,1096,15,1440,0.761111111111111,0.16,0.601606769112795,0.58974358974359,0.906749995351804,1.56867749195862
"434",11,"Kevin Ellis","SKC",288341.33,180,2,192,0.9375,0.01,0.218202867345965,0.743589743589743,0.901680572752226,1.55990739086135
"260",8,"Jack Harrison","NYC",295500,1217,15,1440,0.845138888888889,0.31,0.68499019273824,0.380952380952381,0.900869522348254,1.55850427366248
"121",21,"Sean Franklin","DC",542512,671,9,864,0.77662037037037,0.02,0.33153913476327,0.822222222222222,0.896034572381094,1.55013981021929
"49",18,"Waylon Francis","CLB",479375,557,7,672,0.828869047619048,0.1,0.218020320105371,0.857142857142857,0.891169478760808,1.5417231982562
"72",15,"Marlon Hairston","COL",220008,964,13,1248,0.772435897435897,0.05,0.571214870368899,0.575,0.885377512047771,1.53170309584264
"93",1,"Aaron Guillen","DAL",108150,269,3,288,0.934027777777778,0.03,0.182030055827341,0.760869565217391,0.88069443771192,1.52360137724162
"163",2,"Ashley Cole","LA",727625,885,10,960,0.921875,0,0.187983865221437,0.764705882352941,0.87826086104513,1.51939128960808
"164",16,"Jelle Van Damme","LA",1262500,967,12,1152,0.839409722222222,0.03,0.163191850423121,0.882352941176471,0.877640463087504,1.51831800114138
"473",6,"Christian Dean",NA,323000,239,3,288,0.829861111111111,NA,0.0542775039302144,1,0.874903900830977,1.51358374843759
"410",12,"Nick Lima","SJ",166212.03,1044,13,1248,0.836538461538462,0.07,0.281521766226873,0.761904761904762,0.872866422571656,1.51005891104896
"235",12,"Joshua Smith","NE",106008,450,5,480,0.9375,0.06,0.132762784826516,0.795918367346939,0.870638580162614,1.50620474368132
"367",3,"Brooks Lennon","RSL",106008,720,8,768,0.9375,0.09,0.456694618010014,0.469387755102041,0.868202224792551,1.50198984889111
"189",4,"Brent Kallman","MN",133299.67,1056,12,1152,0.916666666666667,0.08,0.237152202780135,0.707317073170732,0.865763502954961,1.49777086011208
"31",6,"David Accam","CHI",1570937.5,1016,14,1344,0.755952380952381,0.33,0.885482005666605,0.255813953488372,0.862765397694536,1.49258413801155
"190",17,"Kevin Venegas","MN",173333.33,90,1,96,0.9375,0,0.25874832454342,0.658536585365853,0.859954603039944,1.4877214632591
"281",7,"Daniel Royer","NYRB",9e+05,1126,15,1440,0.781944444444444,0.37,0.843116129436141,0.256410256410256,0.859768548932669,1.48739958965352
"94",7,"Hernan Grana","DAL",425500.08,893,10,960,0.930208333333333,0.01,0.337289423836323,0.58695652173913,0.859741280623833,1.48735241547923
"320",20,"Richie Marquez","PHI",NA,727,9,864,0.841435185185185,0.05,0.146536862307867,0.875,0.859557058909513,1.48703371191346
"236",8,"Diego Fagundez","NE",340000,1226,15,1440,0.851388888888889,0.34,0.721396582720055,0.285714285714286,0.857443003264237,1.48337639564713
"368",17,"Luke Mulholland","RSL",345000,997,14,1344,0.741815476190476,0.13,0.495939822523637,0.653061224489796,0.852346758833626,1.47455989278217
"73",22,"Shkelzen Gashi","COL",3243750,608,9,864,0.703703703703704,0.29,0.949862902245336,0.25,0.844347968246718,1.46072198506682
"165",17,"Jermaine Jones","LA",1322500.2,673,8,768,0.876302083333333,0.19,0.412127583710729,0.549019607843137,0.842255286348635,1.45710164538314
"191",18,"Marc Burch","MN",270000,783,9,864,0.90625,0,0.242260894190996,0.682926829268293,0.838451374384981,1.45052087768602
"50",6,"Federico Higuain","CLB",2100000,1290,15,1440,0.895833333333333,0.27,0.792261726618647,0.142857142857143,0.837710653905396,1.44923943125633
"237",3,"Benjamin Angoua","NE",1254333.33,810,9,864,0.9375,0.04,0.178283554162441,0.714285714285714,0.836783689170146,1.44763578226435
"140",8,"Dylan Remick","HOU",132300,513,6,576,0.890625,0.02,0.242169323954361,0.695652173913043,0.835247271538157,1.44497777976101
"474",12,"Jordan Harvey","VAN",360000,1080,12,1152,0.9375,0.04,0.213255076746858,0.673913043478261,0.831720112711049,1.43887579499012
"51",17,"Ola Kamara","CLB",932500,1281,16,1536,0.833984375,0.52,0.795811303918881,0.2,0.830491067916723,1.43674954749593
"321",11,"Haris Medunjanin","PHI",965016,1260,14,1344,0.9375,0.04,0.426405828014691,0.45,0.821630463763773,1.42142070231133
"141",16,"Leonardo",NA,NA,1068,12,1152,0.927083333333333,NA,0.035929504422582,0.847826086956522,0.819315079507711,1.41741508754834
"301",10,"Jose Aja","ORL",432000,673,8,768,0.876302083333333,0.01,0.16657855665962,0.765957446808511,0.817183242622464,1.41372700973686
"74",8,"Dominique Badji","COL",130000,893,13,1248,0.715544871794872,0.31,0.839564758798337,0.3,0.81540971923631,1.41065881427882
"166",11,"Giovani dos Santos","LA",NA,1033,12,1152,0.896701388888889,0.43,0.732618948462721,0.176470588235294,0.815181850181467,1.41026460081394
"411",1,"Anibal Godoy","SJ",486234,1054,13,1248,0.844551282051282,0.07,0.390806560145057,0.571428571428571,0.812656914005292,1.40589646122916
"192",5,"Christian Ramirez","MN",742508.4,1172,14,1344,0.87202380952381,0.51,0.878397225839676,0.048780487804878,0.8085210419579,1.39874140258717
"142",14,"Juan Cabezas","HOU",NA,920,11,1056,0.871212121212121,0.04,0.186849967103739,0.739130434782609,0.806725350128257,1.39563485572189
"369",6,"Chris Wingert","RSL",279398,1151,13,1248,0.922275641025641,0.06,0.239895085349946,0.63265306122449,0.804729901207673,1.39218272908927
"370",11,"Joao Plata","RSL",750000.08,873,12,1152,0.7578125,0.43,1,0.0612244897959184,0.804209183673469,1.3912818877551
"6",21,"Tyrone Mears","ATL",367512,1080,12,1152,0.9375,0,0.213459503975985,0.642857142857143,0.802796856406057,1.38883856158248
"95",12,"Kellyn Acosta","DAL",540000,924,11,1056,0.875,0.18,0.545360294129849,0.369565217391304,0.800559822581009,1.38496849306515
"393",19,"Tony Alfaro",NA,108150,550,7,672,0.818452380952381,NA,0.0455303525168068,0.931818181818182,0.799913234946791,1.38384989645795
"7",12,"Josef Martinez","ATL",1965310,262,3,288,0.909722222222222,0.79,0.831273590672076,0.0476190476190476,0.799548164000952,1.38321832372165
"96",4,"Carlos Gruezo","DAL",1226500,1125,13,1248,0.901442307692308,0.03,0.249338693797939,0.630434782608696,0.793065032818481,1.37200250677597
"32",19,"Matt Polster","CHI",214800,379,5,480,0.789583333333333,0.03,0.283164478364643,0.720930232558139,0.79281644883278,1.37157245648071
"348",15,"Lawrence Olum","POR",3e+05,1002,12,1152,0.869791666666667,0.04,0.195787787460802,0.710526315789474,0.788304454389563,1.36376670609394
"371",14,"Justin Schmidt","RSL",106008,676,9,864,0.782407407407407,0.03,0.137991911009745,0.857142857142857,0.778600813971249,1.34697940817026
"475",5,"Christian Bolanos","VAN",503500,853,11,1056,0.807765151515151,0.25,0.743524154393266,0.217391304347826,0.77619402112325,1.34281565654322
"450",19,"Sebastian Giovinco","TOR",12715555.67,806,10,960,0.839583333333333,0.51,0.822518610386588,0.1,0.774531249970406,1.3399390624488
